Apotheke;Apotheke
Bäckerei;Bäckerei
Bus;Bushaltestelle
Drogerie;Drogerie
Grün;Park / Grünanlage
Grundschule;Grundschule
Hausarzt;Hausarzt
Kita;Kita
Straßenbahn;Straßenbahnhaltestelle
Spielplatz;Spielplatz
Supermarkt;Supermarkt
